Home,HomeScore,Away,AwayScore,Date,OpponentURL
Abbott (TX),38,Oglesby,44,8/29,https://www.maxpreps.com/tx/oglesby/oglesby-tigers/football/
Abbott (TX),50,Bynum,0,9/5,https://www.maxpreps.com/tx/bynum/bynum-bulldogs/football/
Blum,38,Abbott (TX),60,9/12,https://www.maxpreps.com/tx/blum/blum-bobcats/football/
Abbott (TX),,Fort Worth,,9/19,https://www.maxpreps.com/tx/fort-worth/covenant-classical-cavaliers/football/
Abbott (TX),,Gail,,9/27,https://www.maxpreps.com/tx/gail/borden-county-coyotes/football/
Abbott (TX),,Hillsboro,,10/3,https://www.maxpreps.com/tx/hillsboro/hill-county-wolves/football/
Coolidge,,Abbott (TX),,10/17,https://www.maxpreps.com/tx/coolidge/coolidge-yellowjackets/football/
Abbott (TX),,Waco,,10/24,https://www.maxpreps.com/tx/waco/gholson/football/
Penelope,,Abbott (TX),,10/31,https://www.maxpreps.com/tx/penelope/penelope-wolverines/football/
Abbott (TX),,Aquilla,,11/7,https://www.maxpreps.com/tx/aquilla/aquilla-cougars/football/
Stratford,14,Abernathy (TX),0,8/29,https://www.maxpreps.com/tx/stratford/stratford-elks/football/
Abernathy (TX),20,Sunray,16,9/5,https://www.maxpreps.com/tx/sunray/sunray-bobcats/football/
Littlefield,31,Abernathy (TX),28,9/12,https://www.maxpreps.com/tx/littlefield/littlefield-wildcats/football/
Abernathy (TX),,Farwell,,9/19,https://www.maxpreps.com/tx/farwell/farwell-steers/football/
Friona,,Abernathy (TX),,9/26,https://www.maxpreps.com/tx/friona/friona-chieftans/football/
New Home,,Abernathy (TX),,10/10,https://www.maxpreps.com/tx/new-home/new-home-leopards/football/
Abernathy (TX),,New Deal,,10/17,https://www.maxpreps.com/tx/new-deal/new-deal-lions/football/
Floydada,,Abernathy (TX),,10/24,https://www.maxpreps.com/tx/floydada/floydada-whirlwinds/football/
Abernathy (TX),,Olton,,10/31,https://www.maxpreps.com/tx/olton/olton-mustangs/football/
Post,,Abernathy (TX),,11/7,https://www.maxpreps.com/tx/post/post-antelopes/football/
Jonesboro,59,Abilene Christian (TX),56,8/29,https://www.maxpreps.com/tx/jonesboro/jonesboro-eagles/football/
Abilene Christian (TX),49,Midland,0,9/5,https://www.maxpreps.com/tx/midland/trinity-chargers/football/
Knox City,35,Abilene Christian (TX),64,9/12,https://www.maxpreps.com/tx/knox-city/knox-city-greyhounds/football/
Abilene Christian (TX),,Lubbock,,9/19,https://www.maxpreps.com/tx/lubbock/kingdom-prep-academy-warriors/football/
Abilene Christian (TX),,Midland,,9/26,https://www.maxpreps.com/tx/midland/midland-texas-leadership-charter-academy-eagles/football/
Abilene Christian (TX),,Midland,,10/3,https://www.maxpreps.com/tx/midland/holy-cross-crusaders/football/
Weatherford,,Abilene Christian (TX),,10/10,https://www.maxpreps.com/tx/weatherford/weatherford-christian-lions/football/
Abilene Christian (TX),,Crowley,,10/17,https://www.maxpreps.com/tx/crowley/nazarene-christian-academy-lions/football/
Keller,,Abilene Christian (TX),,10/31,https://www.maxpreps.com/tx/keller/harvest-christian-academy-saints/football/
Fort Worth,,Abilene Christian (TX),,11/7,https://www.maxpreps.com/tx/fort-worth/covenant-classical-cavaliers/football/
Abilene (TX),42,San Angelo,21,8/29,https://www.maxpreps.com/tx/san-angelo/san-angelo-central-bobcats/football/
Abilene,13,Abilene (TX),34,9/5,https://www.maxpreps.com/tx/abilene/cooper-cougars/football/
Abilene (TX),21,Odessa,38,9/12,https://www.maxpreps.com/tx/odessa/permian-panthers/football/
Midland,,Abilene (TX),,9/19,https://www.maxpreps.com/tx/midland/midland-legacy-rebels/football/
Amarillo,,Abilene (TX),,9/26,https://www.maxpreps.com/tx/amarillo/caprock-longhorns/football/
Abilene (TX),,Amarillo,,10/3,https://www.maxpreps.com/tx/amarillo/amarillo-sandies/football/
Lubbock,,Abilene (TX),,10/9,https://www.maxpreps.com/tx/lubbock/coronado-mustangs/football/
Abilene (TX),,Lubbock,,10/17,https://www.maxpreps.com/tx/lubbock/lubbock-westerners/football/
Amarillo,,Abilene (TX),,10/24,https://www.maxpreps.com/tx/amarillo/tascosa-rebels/football/
Abilene (TX),,Lubbock,,10/31,https://www.maxpreps.com/tx/lubbock/monterey-plainsmen/football/
Azle,25,Cooper (TX),49,8/29,https://www.maxpreps.com/tx/azle/azle-hornets/football/
Cooper (TX),13,Abilene,34,9/5,https://www.maxpreps.com/tx/abilene/abilene-eagles/football/
San Angelo,40,Cooper (TX),35,9/12,https://www.maxpreps.com/tx/san-angelo/san-angelo-central-bobcats/football/
Cooper (TX),,Lubbock,,9/19,https://www.maxpreps.com/tx/lubbock/coronado-mustangs/football/
Cooper (TX),,Wichita Falls,,9/26,https://www.maxpreps.com/tx/wichita-falls/memorial-mavericks/football/
Abilene,,Cooper (TX),,10/3,https://www.maxpreps.com/tx/abilene/wylie-bulldogs/football/
Cooper (TX),,Lubbock,,10/10,https://www.maxpreps.com/tx/lubbock/lubbock-cooper-pirates/football/
Plainview,,Cooper (TX),,10/17,https://www.maxpreps.com/tx/plainview/plainview-bulldogs/football/
Cooper (TX),,Wichita Falls,,10/24,https://www.maxpreps.com/tx/wichita-falls/legacy-leopards/football/
Amarillo,,Cooper (TX),,11/6,https://www.maxpreps.com/tx/amarillo/palo-duro-dons/football/
