Home,Away,Date,Time,Location
WKC (35),Leboldus (15),August 29 2025,12:00pm,Leibel Field
Balfour (34),Martin-Luther (29),August 29 2025,2:15pm,Leibel Field
Miller (44),Riffel (28),August 29 2025,3:30pm,Mosaic Stadium
O'neill (8),Thom (34),August 29 2025,4:30pm,Leibel Field
SWC (34),Estevan (6),August 29 2025,5:45pm,Mosaic Stadium
FWJ (20),Campbell (26),August 29 2025,8:00pm,Mosaic Stadium
Balfour (2),FWJ (51),September 4 2025,5:15pm,Leibel Field
O'neill (16),SWC (6),September 4 2025,5:15pm,Mosaic Stadium
WKC (15),Campbell (29),September 4 2025,7:30pm,Leibel Field
Thom (34),Martin-Luther (28),September 4 2025,7:30pm,Mosaic Stadium
Saskatoon Centennial (20),Leboldus (14),September 5 2025,3:00pm,SMF Field
Saskatoon Bethehem (7),Riffel (48),September 5 2025,5:15pm,SMF Field
Saskatoon St. Joesph (37),Miller (25),September 5 2025,7:30pm,SMF Field
FWJ (22),WKC (46),September 11 2025,5:15pm,Leibel Field
Leboldus,Riffel,September 12 2025,5:15pm,Leibel Field
SWC,Thom,September 12 2025,5:15pm,Mosaic Stadium
Campbell,Miller,September 12 2025,7:30pm,Leibel Field
Balfour,Martin-Luther,September 12 2025,7:30pm,Mosaic Stadium
Thom (35),Balfour,September 18 2025,5:15pm,Leibel Field
Campbell (30),WKC (18),September 19 2025,5:15pm,Leibel Field
O'neill (7),Riffel (44),September 19 2025,5:15pm,Mosaic Stadium
Miller (45),Leboldus (13),September 19 2025,7:30pm,Leibel Field
FWJ (30),SWC (6),September 19 2025,7:30pm,Mosaic Stadium
SWC (24),Martin-Luther,September 25 2025,5:15pm,Leibel Field
Miller (58),O'neill (6),September 26 2025,5:15pm,Leibel Field
Riffel (37),WKC (30),September 26 2025,5:15pm,Mosaic Stadium
FWJ (32),Thom (14),September 26 2025,7:30pm,Leibel Field
Leboldus (36),Campbell (43),September 26 2025,7:30pm,Mosaic Stadium
SWC (38),Balfour (25),October 2 2025,5:15pm,Mosaic Stadium
WKC (21),Miller (49),October 2 2025,7:30pm,Mosaic Stadium
Martin-Luther (3),FWJ (42),October 3 2025,5:15pm,Leibel Field
Leboldus (12),Weyburn (23),October 3 2025,5:15pm,Mosaic Stadium
Thom (28),O'neill (14),October 3 2025,7:30pm,Leibel Field
Riffel (33),Campbell (36),October 3 2025,7:30pm,Mosaic Stadium
SWC (20),Thom (16),October 9 2025,5:15pm,Leibel Field
Leboldus,Riffel (35),October 9 2025,5:15pm,Mosaic Stadium
Balfour (24),Martin-Luther (42),October 9 2025,7:30pm,Leibel Field
Campbell (28),Miller (38),October 9 2025,7:30pm,Mosaic Stadium
WKC - 41,LeBOLDUS -13,"Friday, October 17",7:30pm,Leibel Field
O'NEILL - 14,RIFFEL - 63,"Friday, October 17",5:15pm,Leibel Field
MILLER - 45,WKC - 20,"Friday, October 24",5:15pm,Mosaic Stadium
RIFFEL - 35,CAMPBELL - 21,"Friday, October 24",7:30pm,Mosaic Stadium
MILLER - 36,"RIFFEL - 27		","Friday, October 31",6:00pm,Mosaic Stadium
REGINA MILLER - 16,SASKATOON HOLY CROSS - 21,"Friday, November 7, 2025",6:30pm,Saskatoon SK
FWJ - 42,"MARTIN-LUTHER - 2		","Friday, October 17",5:15pm,Mosaic Stadium
THOM - 24,"SWC - 23		","Friday, October 17",7:30pm,Mosaic Stadium
FWJ - 49,THOM - 9,"Thursday, October 23",6:00pm,Mosaic Stadium
FWJ - 12,"SASKATOON BISHOP MAHONEY - 7		","Saturday, November 1, 2025",1:00pm,Leibel Field
MJ CENTRAL - 31,PA CARLTON - 24,"Saturday, November 1, 2025",1:00pm,Max Clunie Prince Albert SK
FWJ - 8,MJ CENTRAL - 51,"Saturday, November 8, 2025",1:00pm,"Gutheridge Field, Moose Jaw  SK"
